Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping_Delay,Shipping_Pressure_Index,Order_Complexity_Score,Profit_Margin,Express_Shipping
PAYMENT,2,4,63.0,179.99,Advance shipping,0,Water Sports,East Lansing,EE. UU.,Consumer,MI,Fan Shop,LATAM,São Gonçalo,Brasil,20.0,0.1,199.99,0.35,1,199.99,179.99,63.0,South America,Río de Janeiro,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class,-2,0.25,199.99,0.3150157507875393,0
PAYMENT,2,4,7.98,30.71,Advance shipping,0,Electronics,Bakersfield,EE. UU.,Consumer,CA,Outdoors,Pacific Asia,Mackay,Australia,1.28,0.04,31.99,0.26,1,31.99,30.71,7.98,Oceania,Queensland,PENDING_PAYMENT,Bridgestone e6 Straight Distance NFL Carolina,31.99,Standard Class,-2,0.25,31.99,0.24945295404814,0
TRANSFER,4,4,30.74,81.97,Shipping on time,0,Indoor/Outdoor Games,Chicago,EE. UU.,Home Office,IL,Fan Shop,Europe,El Ejido,España,17.99,0.18,49.98,0.38,2,99.96,81.97,30.74,Southern Europe,Andalucía,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0,0.5,199.92,0.3075230092036815,0
PAYMENT,6,4,66.9,145.44,Late delivery,1,Indoor/Outdoor Games,Summerville,EE. UU.,Consumer,SC,Fan Shop,Pacific Asia,Yogyakarta,Indonesia,4.5,0.03,49.98,0.46,3,149.94,145.44,66.9,Southeast Asia,Yogyakarta,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,2,0.75,449.82,0.4461784713885555,0
DEBIT,0,0,16.39,48.48,Shipping on time,0,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Europe,Milan,Italia,1.5,0.03,49.98,0.34,1,49.98,48.48,16.39,Southern Europe,Lombardía,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day,0,inf,49.98,0.3279311724689876,1
PAYMENT,4,4,-431.96,269.97,Shipping on time,0,Cardio Equipment,Caguas,Puerto Rico,Consumer,PR,Footwear,Pacific Asia,Hastings,Nueva Zelanda,30.0,0.1,99.99,-1.6,3,299.97,269.97,-431.96,Oceania,Hawke's Bay,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,0,0.75,899.9100000000001,-1.44001066773344,0
PAYMENT,2,1,53.75,191.97,Late delivery,1,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,Africa,Zinder,Níger,47.99,0.2,59.99,0.28,4,239.96,191.97,53.75,West Africa,Zinder,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,First Class,1,4.0,959.84,0.223995665944324,1
DEBIT,4,4,25.22,97.0,Shipping on time,0,Women's Apparel,New York,EE. UU.,Home Office,NY,Golf,Africa,Makurdi,Nigeria,3.0,0.03,50.0,0.26,2,100.0,97.0,25.22,West Africa,Benue,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0,0.5,200.0,0.2522,0
TRANSFER,5,4,33.47,107.98,Late delivery,1,Cleats,Granada Hills,EE. UU.,Home Office,CA,Apparel,Pacific Asia,Ankara,Turquía,12.0,0.1,59.99,0.31,2,119.98,107.98,33.47,West Asia,Ankara,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1,0.5,239.96,0.2789631605267544,0
DEBIT,2,4,30.89,128.69,Advance shipping,0,Men's Footwear,Chicago,EE. UU.,Home Office,IL,Apparel,Europe,Madrid,España,1.3,0.01,129.99,0.24,1,129.99,128.69,30.89,Southern Europe,Madrid,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,-2,0.25,129.99,0.2376336641280098,0
