Type,Days for shipment (scheduled),Benefit per order,Sales per customer,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping_Pressure_Index,Order_Complexity_Score,Profit_Margin,Express_Shipping
1,4,159.69,472.45,10,61,0,0,40,5,3,2181,69,27.5,0.06,99.99,0.34,5,499.95,472.45,159.69,13,610,2,61,99.99,3,1.25,499.95,0.3194119411941194,0
1,4,48.71,167.96,38,276,0,0,6,6,2,2832,66,31.99,0.16,39.99,0.29,5,199.95,167.96,48.71,3,260,3,102,39.99,3,1.25,199.95,0.2436109027256814,0
1,4,87.36,181.99,46,276,0,0,6,3,2,2832,66,18.0,0.09,199.99,0.48,1,199.99,181.99,87.36,3,260,3,70,199.99,3,0.25,199.99,0.4368218410920546,0
1,4,-41.89,175.99,46,276,0,0,6,3,4,2256,48,24.0,0.12,199.99,-0.24,1,199.99,175.99,-41.89,6,741,2,70,199.99,3,0.25,199.99,-0.2094604730236511,0
1,4,10.0,40.0,47,276,0,0,6,6,4,2256,48,10.0,0.2,50.0,0.25,1,50.0,40.0,10.0,6,741,2,59,50.0,3,0.25,50.0,0.2,0
1,4,105.63,290.98,9,276,0,0,6,3,4,2256,48,9.0,0.03,299.98,0.36,1,299.98,290.98,105.63,6,741,2,21,299.98,3,0.25,299.98,0.3521234748983265,0
1,4,64.1,142.44,30,276,0,0,6,3,2,2832,66,7.5,0.05,49.98,0.45,3,149.94,142.44,64.1,3,260,3,67,49.98,3,0.75,149.94,0.4275043350673602,0
1,4,22.67,83.97,30,276,0,0,6,3,2,2832,66,15.99,0.16,49.98,0.27,2,99.96,83.97,22.67,3,260,3,67,49.98,3,0.5,99.96,0.2267907162865146,0
1,4,3.52,351.98,18,276,0,0,6,3,1,2700,75,48.0,0.12,399.98,0.01,1,399.98,351.98,3.52,17,565,2,24,399.98,3,0.25,399.98,0.0088004400220011,0
1,4,40.34,98.38,12,276,0,0,6,0,2,2832,66,21.6,0.18,59.99,0.41,2,119.98,98.38,40.34,3,260,3,71,59.99,3,0.5,119.98,0.336222703783964,0
2,4,-131.7,84.97,30,276,0,0,6,3,1,2182,2,14.99,0.15,49.98,-1.55,2,99.96,84.97,-131.7,22,123,6,67,49.98,3,0.5,99.96,-1.3175270108043218,0
1,4,34.5,74.99,10,66,1,0,36,5,3,2169,8,25.0,0.25,99.99,0.46,1,99.99,74.99,34.5,11,88,2,61,99.99,3,0.25,99.99,0.345034503450345,0
1,4,10.8,40.0,47,66,1,0,36,6,3,2169,8,10.0,0.2,50.0,0.27,1,50.0,40.0,10.8,11,88,2,59,50.0,3,0.25,50.0,0.216,0
1,4,-42.61,24.35,17,66,1,0,36,5,4,3539,48,3.64,0.13,27.99,-1.75,1,27.99,24.35,-42.61,6,741,2,104,27.99,3,0.25,27.99,-1.5223294033583423,0
1,4,27.41,94.5,47,66,1,0,36,6,3,2169,8,5.5,0.06,50.0,0.29,2,100.0,94.5,27.41,11,88,2,59,50.0,3,0.5,100.0,0.2741,0
1,0,-140.73,191.99,46,66,1,0,36,3,2,3326,20,8.0,0.04,199.99,-0.73,1,199.99,191.99,-140.73,12,862,2,70,199.99,1,0.0,199.99,-0.7036851842592129,1
1,0,11.4,189.99,46,66,1,0,36,3,2,1877,102,10.0,0.05,199.99,0.06,1,199.99,189.99,11.4,3,926,2,70,199.99,1,0.0,199.99,0.0570028501425071,1
1,0,46.51,98.96,30,66,1,0,36,3,2,1877,102,1.0,0.01,49.98,0.47,2,99.96,98.96,46.51,3,926,2,67,49.98,1,0.0,99.96,0.4652861144457783,1
1,4,-274.39,391.98,18,66,1,0,36,3,4,3539,48,8.0,0.02,399.98,-0.7,1,399.98,391.98,-274.39,6,741,2,24,399.98,3,0.25,399.98,-0.6860093004650232,0
3,4,83.69,269.98,9,66,1,0,36,3,2,3139,66,30.0,0.1,299.98,0.31,1,299.98,269.98,83.69,3,346,5,21,299.98,3,0.25,299.98,0.2789852656843789,0
3,4,108.23,263.98,9,66,1,0,36,3,2,3139,66,36.0,0.12,299.98,0.41,1,299.98,263.98,108.23,3,346,5,21,299.98,3,0.25,299.98,0.3607907193812921,0
3,4,11.25,90.0,47,66,1,0,36,6,2,3139,66,10.0,0.1,50.0,0.13,2,100.0,90.0,11.25,3,346,5,59,50.0,3,0.5,100.0,0.1125,0
3,4,66.62,141.75,47,66,1,0,36,6,2,3139,66,8.25,0.06,50.0,0.47,3,150.0,141.75,66.62,3,346,5,59,50.0,3,0.75,150.0,0.4441333333333334,0
1,0,43.16,107.89,34,66,1,0,36,0,2,3326,20,22.1,0.17,129.99,0.4,1,129.99,107.89,43.16,12,862,2,56,129.99,1,0.0,129.99,0.3320255404261866,1
1,0,2.99,248.98,9,66,1,0,36,3,2,3326,20,51.0,0.17,299.98,0.01,1,299.98,248.98,2.99,12,862,2,21,299.98,1,0.0,299.98,0.0099673311554103,1
1,0,39.36,245.98,9,66,1,0,36,3,2,3326,20,54.0,0.18,299.98,0.16,1,299.98,245.98,39.36,12,862,2,21,299.98,1,0.0,299.98,0.1312087472498166,1
1,0,117.58,235.16,12,66,1,0,36,0,2,1877,102,4.8,0.02,59.99,0.5,4,239.96,235.16,117.58,3,926,2,71,59.99,1,0.0,239.96,0.4899983330555092,1
1,0,111.73,232.76,12,66,1,0,36,0,2,1877,102,7.2,0.03,59.99,0.48,4,239.96,232.76,111.73,3,926,2,71,59.99,1,0.0,239.96,0.465619269878313,1
3,4,76.99,245.96,12,66,1,0,36,0,2,3139,66,53.99,0.18,59.99,0.31,5,299.95,245.96,76.99,3,346,5,71,59.99,3,1.25,299.95,0.2566761126854475,0
1,4,-445.21,251.96,12,454,0,0,5,0,3,2066,152,47.99,0.16,59.99,-1.77,5,299.95,251.96,-445.21,20,664,2,71,59.99,3,1.25,299.95,-1.484280713452242,0
0,4,17.22,49.19,12,454,0,0,5,0,0,351,106,10.8,0.18,59.99,0.35,1,59.99,49.19,17.22,19,314,1,71,59.99,3,0.25,59.99,0.2870478413068844,0
0,4,33.25,98.38,12,454,0,0,5,0,0,351,106,21.6,0.18,59.99,0.34,2,119.98,98.38,33.25,19,314,1,71,59.99,3,0.5,119.98,0.2771295215869311,0
0,4,-70.36,95.98,12,454,0,0,5,0,0,351,106,24.0,0.2,59.99,-0.73,2,119.98,95.98,-70.36,19,314,1,71,59.99,3,0.5,119.98,-0.5864310718453075,0
1,1,-41.77,56.99,12,454,0,0,5,0,2,317,20,3.0,0.05,59.99,-0.73,1,59.99,56.99,-41.77,12,788,2,71,59.99,0,1.0,59.99,-0.696282713785631,1
1,1,48.66,143.98,12,454,0,0,5,0,2,317,20,35.99,0.2,59.99,0.34,3,179.97,143.98,48.66,12,788,2,71,59.99,0,3.0,179.97,0.2703783963993998,1
1,1,59.39,134.98,12,454,0,0,5,0,2,317,20,44.99,0.25,59.99,0.44,3,179.97,134.98,59.39,12,788,2,71,59.99,0,3.0,179.97,0.3299994443518364,1
1,1,26.99,119.95,0,454,0,0,5,8,2,317,20,5.0,0.04,24.99,0.23,5,124.95,119.95,26.99,12,788,2,91,24.99,0,5.0,124.95,0.2160064025610243,1
1,0,3.37,18.74,0,454,0,0,5,8,2,2868,38,6.25,0.25,24.99,0.18,1,24.99,18.74,3.37,1,893,2,89,24.99,1,0.0,24.99,0.1348539415766306,1
